Features,K,Score
"('avg_age', 'avg_weather_severity', 'fatality_rate', 'damage_cost_LB', 'speeding_influence')",7,0.23826983931348614
"('fatality_rate', 'severe_injury_rate', 'damage_cost_LB', 'road_defect_crash_rate', 'night_crash_rate')",8,0.23791741550320727
"('fatality_rate', 'severe_injury_rate', 'damage_cost_LB', 'road_defect_crash_rate', 'night_crash_rate')",5,0.2379042266954249
"('avg_weather_severity', 'fatality_rate', 'severe_injury_rate', 'damage_cost_LB', 'night_crash_rate')",8,0.2376832576449796
"('fatality_rate', 'severe_injury_rate', 'damage_cost_LB', 'road_defect_crash_rate', 'avg_responsibility_score')",8,0.23758342031867408
"('avg_weather_severity', 'fatality_rate', 'damage_cost_LB', 'road_defect_crash_rate', 'night_crash_rate')",6,0.2375815432738052
"('avg_weather_severity', 'severe_injury_rate', 'damage_cost_LB', 'speeding_influence', 'road_defect_crash_rate')",6,0.2374092526930836
"('fatality_rate', 'severe_injury_rate', 'damage_cost_LB', 'weekend_crash_rate', 'night_crash_rate')",7,0.23717653273108286
"('avg_age', 'avg_weather_severity', 'fatality_rate', 'road_defect_crash_rate', 'avg_responsibility_score')",3,0.23709501259739504
"('avg_weather_severity', 'fatality_rate', 'damage_cost_LB', 'road_defect_crash_rate', 'night_crash_rate')",2,0.23708892483095875
