CRASH_YEAR,CRASH_MONTH,BEAT_OF_OCCURRENCE,avg_age,avg_speed_limit,total_crashes,sum_injuries_total,sum_injuries_fatal,sum_injuries_incapacitating,sum_injuries_non_incapacitating,sum_injuries_reported_not_evident,sum_weather_category_clear,sum_weather_category_cloudy,sum_weather_category_rain,sum_weather_category_extreme,sum_weather_category_unknown,sum_lighting_category_daylight,sum_lighting_category_night,sum_lighting_category_unknown,sum_roadway_surface_category_dry,sum_roadway_surface_category_wet,sum_roadway_surface_category_snow,sum_roadway_surface_category_ice,sum_roadway_surface_category_unknown,sum_road_defect_category_no_defects,sum_road_defect_category_bad,sum_road_defect_category_defect,sum_road_defect_category_debris,sum_road_defect_category_unknown,sum_damage_category_high,sum_damage_category_low,sum_damage_category_medium,sum_gender_unknown,sum_gender_female,sum_gender_male,sum_category_motorcycle,sum_category_off-road/specialized,sum_category_passenger vehicle,sum_category_public transport,sum_category_truck/commercial
2017,1,513.0,43.416666666666664,28.333333333333332,12,0.0,0.0,0.0,0.0,0.0,5,1,2,0,4,6,4,2,5,4,0,1,2,6,0,0,0,6,6,0,6,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0
2017,1,522.0,47.0,30.0,4,0.0,0.0,0.0,0.0,0.0,3,0,1,0,0,3,1,0,2,1,0,1,0,2,0,0,0,2,2,0,2,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0
2017,1,523.0,46.2,26.25,8,1.0,0.0,0.0,0.0,1.0,4,0,0,1,3,3,4,1,4,0,0,2,2,5,0,1,0,2,4,0,4,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
2017,1,524.0,42.85,28.46153846153846,13,3.0,0.0,0.0,0.0,3.0,9,0,1,0,3,5,5,3,6,2,1,2,2,9,0,0,0,4,9,0,4,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0
2017,1,531.0,39.05555555555556,26.25,12,2.0,0.0,1.0,1.0,0.0,11,0,1,0,0,9,3,0,11,1,0,0,0,7,2,1,0,2,6,2,4,0.0,0.0,0.0,0.0,0.0,13.0,0.0,2.0
2017,1,532.0,36.416666666666664,28.571428571428573,7,0.0,0.0,0.0,0.0,0.0,7,0,0,0,0,3,4,0,6,0,0,0,1,6,1,0,0,0,2,2,3,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0
2017,1,533.0,32.9,27.0,5,1.0,0.0,0.0,0.0,1.0,5,0,0,0,0,5,0,0,3,0,0,1,1,2,1,0,1,1,3,0,2,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0
2017,1,611.0,49.916666666666664,30.0,8,3.0,0.0,0.0,0.0,3.0,5,0,1,0,2,5,2,1,4,1,0,0,3,5,0,0,0,3,4,1,3,0.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0
2017,1,612.0,37.875,25.833333333333332,12,0.0,0.0,0.0,0.0,0.0,8,0,1,0,3,5,6,1,8,1,0,1,2,8,1,0,0,3,6,0,6,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0
2017,1,613.0,47.333333333333336,30.0,5,0.0,0.0,0.0,0.0,0.0,3,1,0,0,1,3,1,1,2,1,0,1,1,4,0,0,0,1,4,0,1,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
